Record ID,Title,Type,Language,Subject Classification,System 1,Code,System 2,Code2,System 3,Code3,Gold,Train Freq,Gold Code
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Sozialer Wandel | gnd:4077587-2,N,Schienenverkehr | gnd:4052371-8,Y,Schienenverkehr | gnd:4052371-8,Y,Zugsicherung | gnd:4191115-5,2,TP
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Wettbewerb | gnd:4065835-1,N,Eisenbahnsignalanlage | gnd:4515524-0,Y,Verkehrsleittechnik | gnd:4133709-8,Y,Elektronisches Stellwerk | gnd:4151928-0,1,TP
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Funktionswandel | gnd:4454438-8,N,Elektronisches Stellwerk | gnd:4151928-0,Y,Zugsicherung | gnd:4191115-5,Y,Eisenbahnsignalanlage | gnd:4515524-0,2,TP
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Berufsgewerkschaft | gnd:1027433812,N,,,Elektronisches Stellwerk | gnd:4151928-0,Y,,,
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Organisationsstruktur | gnd:4115464-2,N,,,Eisenbahnsignalanlage | gnd:4515524-0,Y,,,
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Transporttechnik | gnd:4185935-2,N,,,Fahrweg | gnd:4153577-7,Y,,,
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Arbeitsbeziehungen | gnd:4002617-6,N,,,Eisenbahnverkehr | gnd:4151503-1,Y,,,
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Bahnsteuerung | gnd:4042803-5,N,,,Sicherheit | gnd:4054790-5,I,,,
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,Bahnstromversorgung | gnd:4207348-0,N,,,Sicherheitstechnik | gnd:4077423-5,Y,,,
3A1652958894,Sicherung des Schienenverkehrs : Grundlagen und Planung der Leit- und Sicherungstechnik,Book,de,(classificationName=linsearch:mapping)ver,S-Bahn | gnd:4051865-6,N,,,Eisenbahn | gnd:4014015-5,I,,,
