LabelNorm,RawLabelExample,NumCodes,Codes,RolesPerCode,PrefCount,AltCount
ta,ta,2,gnd:1162072911; gnd:4727155-3,gnd:1162072911:pref; gnd:4727155-3:pref,2,0
tafel,Tafel,2,gnd:1162073128; gnd:4184335-6,gnd:1162073128:pref; gnd:4184335-6:pref,2,0
telein,telein,2,gnd:4258756-6; gnd:4445139-8,gnd:4258756-6:pref; gnd:4445139-8:pref,2,0
thrombektomie,Thrombektomie,2,gnd:134326068X; gnd:4581374-7,gnd:134326068X:pref; gnd:4581374-7:pref,2,0
topos,topos,2,gnd:1148983899; gnd:4127974-8,gnd:1148983899:pref; gnd:4127974-8:pref,2,0
un,un,2,gnd:1148983945; gnd:4293259-2,gnd:1148983945:pref; gnd:4293259-2:pref,2,0
unionoida,Unionoida,2,gnd:4235987-9; gnd:4679561-3,gnd:4235987-9:pref; gnd:4679561-3:pref,2,0
videopiraterie,Videopiraterie,2,gnd:7506478-9; gnd:7507237-3,gnd:7506478-9:pref; gnd:7507237-3:pref,2,0
wolfram druckschrift,Wolfram Druckschrift,2,gnd:1333126433; gnd:7646588-3,gnd:1333126433:pref; gnd:7646588-3:pref,2,0
zar,zar,2,gnd:1162074094; gnd:4129736-2,gnd:1162074094:pref; gnd:4129736-2:pref,2,0
ʾrk,ʾrk,2,gnd:116207454X; gnd:7654086-8,gnd:116207454X:pref; gnd:7654086-8:pref,2,0
ḥalav,ḥalav,2,gnd:1162068574; gnd:1162068736,gnd:1162068574:pref; gnd:1162068736:pref,2,0
ḥaman,ḥaman,2,gnd:1162068612; gnd:1162068825,gnd:1162068612:pref; gnd:1162068825:pref,2,0
